ING,INGNAME,PROD,PRODNAME,TTY
704,Amitriptyline,856775,Amitriptyline Hydrochloride 150 MG Oral Tablet [Elavil],SBD
704,Amitriptyline,856777,Amitriptyline Hydrochloride 150 MG Oral Tablet [Endep],SBD
704,Amitriptyline,856792,Amitriptyline Hydrochloride 25 MG / Chlordiazepoxide 10 MG Oral Tablet,SCD
704,Amitriptyline,856796,Amitriptyline Hydrochloride 25 MG / Chlordiazepoxide 10 MG Oral Tablet [Limbitrol],SBD
704,Amitriptyline,856861,Amitriptyline Hydrochloride 10 MG/ML Injectable Solution [Elavil],SBD
343047,Atazanavir,402246,Atazanavir 150 MG Oral Capsule,SCD
343047,Atazanavir,1598989,Atazanavir 50 MG Oral Powder [Reyataz],SBD
343047,Atazanavir,1598985,Atazanavir 50 MG Oral Powder,SCD
343047,Atazanavir,664743,Atazanavir 300 MG Oral Capsule [Reyataz],SBD
343047,Atazanavir,664741,Atazanavir 300 MG Oral Capsule,SCD
343047,Atazanavir,1601660,Atazanavir 300 MG / cobicistat 150 MG Oral Tablet [Evotaz],SBD
343047,Atazanavir,1601654,Atazanavir 300 MG / cobicistat 150 MG Oral Tablet,SCD
343047,Atazanavir,402093,Atazanavir 200 MG Oral Capsule [Reyataz],SBD
343047,Atazanavir,402094,Atazanavir 150 MG Oral Capsule [Reyataz],SBD
343047,Atazanavir,402095,Atazanavir 100 MG Oral Capsule [Reyataz],SBD
343047,Atazanavir,402245,Atazanavir 100 MG Oral Capsule,SCD
343047,Atazanavir,402247,Atazanavir 200 MG Oral Capsule,SCD
38400,atomoxetine,349591,atomoxetine 10 MG Oral Capsule,SCD
38400,atomoxetine,352318,atomoxetine 18 MG Oral Capsule [Strattera],SBD
38400,atomoxetine,608143,atomoxetine 80 MG Oral Capsule,SCD
38400,atomoxetine,352319,atomoxetine 25 MG Oral Capsule [Strattera],SBD
38400,atomoxetine,349594,atomoxetine 40 MG Oral Capsule,SCD
38400,atomoxetine,352320,atomoxetine 40 MG Oral Capsule [Strattera],SBD
38400,atomoxetine,349595,atomoxetine 60 MG Oral Capsule,SCD
38400,atomoxetine,352321,atomoxetine 60 MG Oral Capsule [Strattera],SBD
38400,atomoxetine,352317,atomoxetine 10 MG Oral Capsule [Strattera],SBD
38400,atomoxetine,608139,atomoxetine 100 MG Oral Capsule,SCD
38400,atomoxetine,617945,atomoxetine 100 MG Oral Capsule [Strattera],SBD
38400,atomoxetine,349592,atomoxetine 18 MG Oral Capsule,SCD
38400,atomoxetine,410062,atomoxetine 5 MG Oral Capsule,SCD
38400,atomoxetine,617947,atomoxetine 80 MG Oral Capsule [Strattera],SBD
38400,atomoxetine,349593,atomoxetine 25 MG Oral Capsule,SCD
1256,Azathioprine,359228,Azathioprine 100 MG Oral Tablet,SCD
1256,Azathioprine,105611,Azathioprine 50 MG Oral Tablet [Imuran],SBD
2556,Citalopram,645290,Citalopram 20 MG Disintegrating Oral Tablet,SCD
2556,Citalopram,645289,Citalopram 10 MG Disintegrating Oral Tablet,SCD
2556,Citalopram,283672,Citalopram 10 MG Oral Tablet,SCD
2556,Citalopram,284591,Citalopram 10 MG Oral Tablet [Celexa],SBD
2556,Citalopram,153503,Citalopram 10 MG Oral Tablet [Cipramil],SBD
2556,Citalopram,309313,Citalopram 2 MG/ML Oral Solution,SCD
2556,Citalopram,261342,Citalopram 2 MG/ML Oral Solution [Celexa],SBD
32968,clopidogrel,309362,clopidogrel 75 MG Oral Tablet,SCD
32968,clopidogrel,213169,clopidogrel 75 MG Oral Tablet [Plavix],SBD
32968,clopidogrel,749198,clopidogrel 300 MG Oral Tablet [Plavix],SBD
32968,clopidogrel,749196,clopidogrel 300 MG Oral Tablet,SCD
2670,Codeine,1115764,Codeine Phosphate 1.8 MG/ML / Guaifenesin 40 MG/ML / Pseudoephedrine Hydrochloride 6 MG/ML Oral Solution [Z-Tuss E],SBD
2670,Codeine,996253,Codeine Phosphate 2 MG/ML / Guaifenesin 20 MG/ML / Pseudoephedrine Hydrochloride 6 MG/ML Oral Solution [Nucofed Expectorant],SBD
7531,Nortriptyline,104822,Nortriptyline 10 MG Oral Tablet [Aventyl],SBD
7531,Nortriptyline,199283,Nortriptyline 10 MG Oral Tablet,SCD
7531,Nortriptyline,209329,Nortriptyline 10 MG Oral Capsule [Pamelor],SBD
26225,Ondansetron,998035,Ondansetron 4 MG Oral Strip [Zuplenz],SBD
26225,Ondansetron,998033,Ondansetron 4 MG Oral Strip,SCD
26225,Ondansetron,876690,Ondansetron 4 MG Disintegrating Oral Tablet [Zofran],SBD
26225,Ondansetron,104894,Ondansetron 4 MG Disintegrating Oral Tablet,SCD
26225,Ondansetron,312086,Ondansetron 8 MG Oral Tablet,SCD
26225,Ondansetron,998028,Ondansetron 8 MG Oral Strip,SCD
32937,Paroxetine,1738527,Paroxetine mesylate 40 MG Oral Tablet,SCD
32937,Paroxetine,211700,Paroxetine Hydrochloride 40 MG Oral Tablet [Paxil],SBD
32937,Paroxetine,1738523,Paroxetine mesylate 30 MG Oral Tablet,SCD
32937,Paroxetine,541662,Paroxetine mesylate 20 MG Oral Tablet [Pexeva],SBD
8183,Phenytoin,1670353,5 ML Phenytoin sodium 50 MG/ML Injection,SCD
8183,Phenytoin,429700,Aminobutyric Acid 125 MG / Phenobarbital 50 MG / Phenytoin 50 MG Oral Tablet,SCD
8183,Phenytoin,1313112,Phenytoin 25 MG/ML Oral Suspension,SCD
2197878,Pitolisant,2197892,pitolisant 17.8 MG Oral Tablet,SCD
2197878,Pitolisant,2197884,pitolisant 4.45 MG Oral Tablet,SCD
2197878,Pitolisant,2197894,Wakix 17.8 MG Oral Tablet,SBD
2197878,Pitolisant,2197890,Wakix 4.45 MG Oral Tablet,SBD
36567,Simvastatin,476351,ezetimibe 10 MG / Simvastatin 80 MG Oral Tablet,SCD
36567,Simvastatin,1245449,ezetimibe 10 MG / Simvastatin 80 MG Oral Tablet [Vytorin],SBD
36567,Simvastatin,762970,24 HR Niacin 750 MG / Simvastatin 20 MG Extended Release Oral Tablet,SCD
